panel_label,metric_name,metric_label,target_mode,endpoint_name,endpoint_label,sample_filter,n_pairs,mean_with_amm,mean_without_amm,mean_delta_with_minus_without,median_delta_with_minus_without,share_positive_delta,permutation_stat,permutation_p_value,ci_level,delta_ci_lo,delta_ci_hi
High-Vol Stress,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,594.1333333333333,592.8233333333334,1.31,0.0,0.03,1.31,0.6963303669633036,0.95,-4.666833333333333,7.980416666666665
High-Vol Stress,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,1,373.0,288.0,85.0,85.0,1.0,85.0,1.0,0.95,85.0,85.0
High-Vol Stress,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,107.7,107.43333333333334,0.26666666666666666,1.5,0.5033333333333333,0.26666666666666666,0.9562043795620438,0.95,-9.110333333333331,10.101916666666655
MM Withdrawal,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.95,0.0,0.0
MM Withdrawal,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,11.173333333333334,11.486666666666666,-0.31333333333333335,0.0,0.4633333333333333,-0.31333333333333335,0.5796420357964204,0.95,-1.4070833333333326,0.76
MM Withdrawal,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,300,11.173333333333334,11.486666666666666,-0.31333333333333335,0.0,0.4633333333333333,-0.31333333333333335,0.577042295770423,0.95,-1.3534999999999997,0.7234999999999991
MM Withdrawal,depth_resilience,Depth Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,102.08333333333333,77.16,24.923333333333332,1.0,0.5066666666666667,24.923333333333332,0.04789521047895211,0.95,1.2393333333333345,50.01408333333331
Flash Crash,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,1.0,0.9966666666666667,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,1.0,0.95,0.0,0.01
Flash Crash,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,16.34,18.08,-1.74,-1.0,0.44333333333333336,-1.74,0.6595340465953404,0.95,-6.493583333333333,1.1268333333333325
Flash Crash,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,299,16.361204013377925,16.13377926421405,0.22742474916387959,-1.0,0.44481605351170567,0.22742474916387959,0.7126287371262874,0.95,-0.9433110367892974,1.4316053511705675
Flash Crash,depth_resilience,Depth Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,45.13666666666666,50.71666666666667,-5.58,0.0,0.48,-5.58,0.5446455354464553,0.95,-23.021749999999997,12.676916666666665
Dealer Liquidity Crisis,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,1.0,0.9966666666666667,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,1.0,0.95,0.0,0.01
Dealer Liquidity Crisis,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,31.536666666666665,35.04,-3.5033333333333334,-1.0,0.46,-3.5033333333333334,0.0122987701229877,0.95,-8.50158333333333,-0.5031666666666675
Dealer Liquidity Crisis,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,299,31.57190635451505,33.1505016722408,-1.5785953177257526,-1.0,0.46153846153846156,-1.5785953177257526,0.028697130286971302,0.95,-2.9163879598662206,-0.24406354515050213
