panel_label,series_key,amm_enabled,preset,seed,metric_name,metric_label,metric_note,analysis_target_mode,recovered,is_censored,recovery_steps,time_observed_steps,half_life_steps,legacy_recovery_steps,initial_dislocation_pct,reference_dislocation_pct,reference_dislocation_step,target_abs_deviation_pct,avg_change_pct,normalized_avg_impact,normalized_auc_abs,trough_change_pct,peak_abs_change_pct
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,201,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,6.0,nan,1653.3148836085059,1653.3148836085059,3.0,50.0,681.3535562061701,0.4121136045899833,0.08705450363755117,-75.82654579310422,1653.3148836085059
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,201,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,27.0,27.0,27.0,27.0,-97.19526924869578,-97.19526924869578,3.0,50.0,-75.9796855865331,-0.7817220547238993,0.2633159964819241,-97.19526924869578,97.19526924869578
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,201,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,False,True,nan,600.0,6.0,nan,1460.7346025545316,1460.7346025545316,0.0,50.0,560.4933763142266,0.3837065099533044,0.07694404946261368,-82.83497047887218,1460.7346025545316
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,201,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,27.0,27.0,27.0,1653.3148836085059,1653.3148836085059,9.0,50.0,291.98006050196966,0.16242051805923263,0.15240133174295492,-97.19526924869578,1653.3148836085059
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,202,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,192.0,nan,1325.4083261622968,1325.4083261622968,5.0,50.0,677.1829548699933,0.5109240235654533,0.1419622209389913,-66.9125272478889,2658.6665894320577
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,202,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,46.0,46.0,46.0,46.0,-89.13771859379685,-89.13771859379685,6.0,50.0,-71.49648643793985,-0.8020901540429972,0.2530841893306587,-89.13771859379685,89.13771859379685
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,202,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,False,True,nan,600.0,192.0,nan,1457.7666472676974,1457.7666472676974,5.0,50.0,798.9365897688924,0.5480551988662555,0.1441143270075968,-68.06432882081337,2592.581779258336
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,202,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,46.0,192.0,46.0,1457.7666472676974,1457.7666472676974,8.0,50.0,350.8558681241608,-0.07899882944632677,0.1909979713673851,-89.13771859379685,2658.6665894320577
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,203,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,5.0,nan,2350.245876263891,2350.245876263891,1.0,50.0,671.0225941190376,0.2855116568423642,0.09402660542446663,-50.735797196716355,2350.245876263891
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,203,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,24.0,24.0,411.0,24.0,-86.05577732182721,-86.05577732182721,3.0,50.0,-73.47616795078844,-0.853820280723348,0.20488898585529458,-86.505715111999,86.505715111999
