panel_label,metric_name,metric_label,target_mode,endpoint_name,endpoint_label,sample_filter,n_pairs,mean_with_amm,mean_without_amm,mean_delta_with_minus_without,median_delta_with_minus_without,share_positive_delta,permutation_stat,permutation_p_value,ci_level,delta_ci_lo,delta_ci_hi
Dealer Liquidity Crisis,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,76.92,45.17,31.75,5.0,0.5566666666666666,31.75,0.00029997000299970003,0.95,16.878250000000016,48.17075
Dealer Liquidity Crisis,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,284,51.53521126760563,41.267605633802816,10.267605633802816,3.5,0.5387323943661971,10.267605633802816,0.0014998500149985001,0.95,4.041285211267608,16.930633802816896
Dealer Liquidity Crisis,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,96.98333333333333,28.593333333333334,68.39,4.0,0.6266666666666667,68.39,9.999000099990002e-05,0.95,46.76016666666668,89.45241666666665
Funding Liquidity Shock,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9633333333333334,0.9933333333333333,-0.03,0.0,0.006666666666666667,-0.03,0.0201979802019798,0.95,-0.05333333333333334,-0.006666666666666667
Funding Liquidity Shock,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,72.27,45.483333333333334,26.786666666666665,5.0,0.5733333333333334,26.786666666666665,0.00019998000199980003,0.95,12.661083333333337,40.76474999999999
Funding Liquidity Shock,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,287,52.254355400696866,41.89895470383275,10.35540069686411,4.0,0.5609756097560976,10.35540069686411,0.0046995300469953,0.95,3.466463414634147,18.317682926829264
Funding Liquidity Shock,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,108.33666666666667,40.7,67.63666666666667,3.0,0.5833333333333334,67.63666666666667,9.999000099990002e-05,0.95,42.94108333333334,92.75116666666665
High-Vol Stress,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9666666666666667,0.99,-0.023333333333333334,0.0,0.01,-0.023333333333333334,0.0933906609339066,0.95,-0.05,0.0
High-Vol Stress,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,197.24666666666667,214.13,-16.883333333333333,-6.0,0.39,-16.883333333333333,0.0091990800919908,0.95,-28.981999999999996,-4.301166666666679
High-Vol Stress,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,287,183.1602787456446,210.30313588850174,-27.142857142857142,-7.0,0.37282229965156793,-27.142857142857142,9.999000099990002e-05,0.95,-36.014198606271776,-18.860104529616727
High-Vol Stress,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,103.61666666666666,106.47333333333333,-2.8566666666666665,0.5,0.5,-2.8566666666666665,0.5646435356464353,0.95,-12.27375,6.836749999999999
MM Withdrawal (Isolated),depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.96,0.9666666666666667,-0.006666666666666667,0.0,0.03,-0.006666666666666667,0.8221177882211779,0.95,-0.03333333333333333,0.02
MM Withdrawal (Isolated),depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,101.10333333333334,100.82666666666667,0.27666666666666667,-2.0,0.4633333333333333,0.27666666666666667,0.9781021897810219,0.95,-19.477666666666664,19.76024999999998
MM Withdrawal (Isolated),depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,279,80.05734767025089,83.4695340501792,-3.412186379928315,-3.0,0.45878136200716846,-3.412186379928315,0.6172382761723828,0.95,-17.52132616487455,10.206810035842281
MM Withdrawal (Isolated),depth_resilience,Depth Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,49.16,48.486666666666665,0.6733333333333333,0.0,0.49666666666666665,0.6733333333333333,0.9461053894610539,0.95,-18.222833333333327,19.073916666666666
Flash Crash,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.97,0.96,0.01,0.0,0.04,0.01,0.6605339466053395,0.95,-0.02,0.04
Flash Crash,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,82.79666666666667,89.48333333333333,-6.6866666666666665,-2.0,0.47333333333333333,-6.6866666666666665,0.49085091490850913,0.95,-24.752833333333328,12.609999999999982
Flash Crash,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,279,66.3584229390681,67.68458781362007,-1.3261648745519714,-2.0,0.4767025089605735,-1.3261648745519714,0.8138186181381862,0.95,-11.97643369175627,9.201344086021502
Flash Crash,depth_resilience,Depth Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,29.286666666666665,28.94333333333333,0.3433333333333333,0.0,0.49,0.3433333333333333,0.959004099590041,0.95,-12.18025,14.22025
Dealer Liquidity Crisis,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.99,0.9933333333333333,-0.0033333333333333335,0.0,0.006666666666666667,-0.0033333333333333335,1.0,0.95,-0.02,0.01
