panel_label,series_key,amm_enabled,preset,seed,metric_name,metric_label,metric_note,analysis_target_mode,recovered,is_censored,recovery_steps,time_observed_steps,half_life_steps,legacy_recovery_steps,initial_dislocation_pct,reference_dislocation_pct,reference_dislocation_step,target_abs_deviation_pct,avg_change_pct,normalized_avg_impact,normalized_auc_abs,trough_change_pct,peak_abs_change_pct
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,332,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,True,False,40.0,40.0,13.0,nan,967.1015481614083,967.1015481614083,8.0,193.42030963228163,293.93294533723764,0.30393183207703905,0.07651777700047165,-79.16014978846192,967.1015481614083
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,332,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,True,False,59.0,59.0,21.0,20.0,1208.0882866915294,1208.0882866915294,8.0,241.61765733830583,141.18780145282352,-0.002123517952613091,0.10055831241291834,-92.61312335724351,1208.0882866915294
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,333,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,True,False,34.0,34.0,3.0,nan,1315.4479257538787,1315.4479257538787,2.0,263.0895851507757,425.48346585917244,0.3234513944102571,0.10912704818496348,-75.14263369973695,1315.4479257538787
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,333,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,73.0,73.0,22.0,32.0,-93.29188180550499,-93.29188180550499,0.0,18.65837636110099,-67.45430388750684,-0.7230458061520899,0.22863127848788437,-93.29188180550499,93.29188180550499
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,333,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,True,False,30.0,30.0,3.0,288.0,959.5696092728891,959.5696092728891,2.0,191.91392185457778,329.6960075794181,0.34358737958494145,0.11138647319117681,-83.19478279809474,959.5696092728891
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,333,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,True,False,73.0,73.0,22.0,288.0,1315.4479257538787,1315.4479257538787,2.0,263.0895851507757,172.09033212813517,0.02790811082716771,0.13966171805989555,-93.29188180550499,1315.4479257538787
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,334,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,True,False,50.0,50.0,12.0,nan,930.8274549762813,930.8274549762813,2.0,186.16549099525622,262.0505144087553,0.2815242642530701,0.07536855548561712,-81.66362222947,1501.770623426058
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,334,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,69.0,69.0,19.0,31.0,-87.64255014390484,-87.64255014390484,1.0,17.528510028780964,-69.50507366915912,-0.7930517032541287,0.17626438878489428,-99.50996938941343,99.50996938941343
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,334,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,True,False,37.0,37.0,12.0,399.0,1015.3763585668858,1015.3763585668858,1.0,203.0752717133771,330.6037977561269,0.32559729696951484,0.06206152330197583,-86.41139240298496,1931.904284876386
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,334,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,True,False,69.0,69.0,19.0,399.0,1015.3763585668858,1015.3763585668858,2.0,203.0752717133771,131.079390820191,0.007535692350601864,0.0964111851493341,-99.50996938941343,1931.904284876386
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,335,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,True,False,82.0,82.0,21.0,nan,440.0654677763409,440.0654677763409,0.0,88.01309355526816,245.13520561262604,0.557042584711995,0.1529408475679604,-79.81334706977147,601.456649983426
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,335,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,52.0,52.0,32.0,32.0,-80.87724043732811,-80.87724043732811,5.0,16.175448087465618,-72.73966583661839,-0.8993836268805988,0.17661141673725786,-83.23948328261712,83.23948328261712
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,335,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,True,False,82.0,82.0,25.0,nan,347.56220854764035,347.56220854764035,8.0,69.51244170952806,215.30705607091977,0.6194777532650176,0.1735828517464597,-83.34271354990453,748.8554704182465
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,335,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,True,False,82.0,82.0,32.0,32.0,440.0654677763409,440.0654677763409,8.0,88.01309355526816,96.92862409379576,0.07047896343195997,0.16351387373592166,-83.34271354990453,748.8554704182465
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,336,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,True,False,75.0,75.0,41.0,nan,1036.8538655756624,1036.8538655756624,0.0,207.37077311513244,512.1819356453129,0.4939769746250104,0.14135428440831083,-65.6646340167413,1521.4099057488252
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,336,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,57.0,57.0,31.0,41.0,-83.44997329333222,-83.44997329333222,1.0,16.68999465866644,-66.39407736403567,-0.7956153218965818,0.1739791461012245,-83.44997329333222,83.44997329333222
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,336,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,True,False,75.0,75.0,41.0,nan,781.2159178307949,781.2159178307949,0.0,156.24318356615893,416.5251816161498,0.5331754923436747,0.1566475113634505,-73.33644492208401,1481.489139255065
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,336,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,True,False,75.0,75.0,41.0,41.0,1036.8538655756624,1036.8538655756624,1.0,207.37077311513244,215.7369987435518,0.12073995428182033,0.15554415493429846,-83.44997329333222,1521.4099057488252
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,337,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,True,False,30.0,30.0,9.0,nan,601.9613217825585,601.9613217825585,0.0,120.39226435651166,206.0663069312051,0.3423248296435244,0.09874694008784568,-84.38104403809301,601.9613217825585
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,337,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,67.0,67.0,24.0,30.0,-88.08122520283023,-88.08122520283023,0.0,17.616245040566042,-64.69482720356103,-0.734490546136071,0.17409601351514378,-88.08122520283023,88.08122520283023
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,337,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,True,False,33.0,33.0,9.0,nan,544.351364409718,544.351364409718,0.0,108.87027288194358,215.25497393988127,0.39543388335822166,0.10401389378311894,-85.64538638746826,544.351364409718
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,337,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,True,False,67.0,67.0,24.0,30.0,601.9613217825585,601.9613217825585,0.0,120.39226435651166,89.24297560429036,0.032283909671567815,0.12695723713750764,-88.08122520283023,601.9613217825585
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,338,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,True,False,17.0,17.0,6.0,nan,2709.395399180551,2709.395399180551,5.0,541.8790798361101,707.9685299720525,0.26130129629148097,0.0433217193884787,-70.84942161791449,2709.395399180551
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,338,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,68.0,68.0,23.0,23.0,-98.40455719494834,-98.40455719494834,5.0,19.680911438989664,-74.78039246755965,-0.7599281435656777,0.16001103968743227,-98.40455719494834,98.40455719494834
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,338,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,True,False,17.0,17.0,6.0,nan,1905.306503714932,1905.306503714932,5.0,381.0613007429863,509.25829524650834,0.2672841845936944,0.045357121798871365,-79.64296413052654,1905.306503714932
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,338,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,True,False,68.0,68.0,23.0,23.0,2709.395399180551,2709.395399180551,5.0,541.8790798361101,285.9938924693664,0.05848561896173651,0.09293835477709043,-98.40455719494834,2709.395399180551
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,339,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,True,False,7.0,7.0,2.0,nan,1600.7206251134094,1600.7206251134094,0.0,320.1441250226818,303.025856067511,0.18930589842686754,0.05665228973079903,-77.11562744304982,1600.7206251134094
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,339,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,46.0,46.0,25.0,23.0,-93.75951340578347,-93.75951340578347,0.0,18.75190268115669,-71.90558761468976,-0.7669151108270826,0.18968998340758103,-93.75951340578347,93.75951340578347
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,339,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,True,False,9.0,9.0,2.0,nan,1624.9079172534719,1624.9079172534719,0.0,324.9815834506943,310.9970113872795,0.19139362180778063,0.058867301249788236,-79.37764934097044,1624.9079172534719
