panel_label,series_key,series_label,amm_enabled,metric_name,metric_label,target_mode,endpoint_name,endpoint_label,sample_filter,n_used,mean,std,median,ci_level,ci_lo,ci_hi
Dealer Liquidity Crisis,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,286,51.31468531468531,48.57851948664822,42.0,0.95,46.31118881118881,57.63767482517481
Dealer Liquidity Crisis,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9933333333333333,0.0815130058495636,1.0,0.95,0.9833333333333333,1.0
Dealer Liquidity Crisis,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,45.17,51.86431777430395,38.0,0.95,39.90658333333333,51.65758333333333
Dealer Liquidity Crisis,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.08725286216114268,0.047731552198207454,0.07834407350996354,0.95,0.08233032616060913,0.09313721483772625
Dealer Liquidity Crisis,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.30864576440863684,0.11393017656634988,0.29019090907059286,0.95,0.29669200998895506,0.3224036414239579
Dealer Liquidity Crisis,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,298,41.446308724832214,24.922617001038684,38.0,0.95,38.895973154362416,44.57046979865772
Funding Liquidity Shock,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9633333333333334,0.1882560935128119,1.0,0.95,0.94,0.9833333333333333
Funding Liquidity Shock,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,72.27,117.75629743365866,41.5,0.95,59.41666666666668,86.31708333333333
Funding Liquidity Shock,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.12517746168880603,0.06916115680244547,0.10664851405746567,0.95,0.11765171711723293,0.1328782648284488
Funding Liquidity Shock,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.2541694414392871,0.12387231459027798,0.22909492886617538,0.95,0.240908389115546,0.2688419246025495
Funding Liquidity Shock,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,289,52.18339100346021,57.915326131872625,40.0,0.95,45.8673875432526,59.1219723183391
Funding Liquidity Shock,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9933333333333333,0.08151300584956361,1.0,0.95,0.9833333333333333,1.0
Funding Liquidity Shock,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,45.483333333333334,53.666220907044504,37.0,0.95,40.21333333333333,52.44783333333333
Funding Liquidity Shock,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.08784118973949939,0.039566427208355834,0.08037175656111248,0.95,0.08332890509935445,0.09210856466459921
Funding Liquidity Shock,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.32790189208273046,0.09838417585447871,0.31455224610293187,0.95,0.31643683167790365,0.33938925384767815
